Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
14,Ind_FixedZ0p7_muSD5_HC1p0_sigY2p04_sigC1p36,0.7,5.0,1.0,2.0370767292768135,1.3580511528512091,1.7778070166463882,0.1813576766069286,1.7704454553974012,0.9654427645788337,1.0039740070233822,1.0850397783832524,0.226,Bayesian independent fixed Z
15,Ind_FixedZ0p7_muSD10_HC1p0_sigY2p04_sigC1p36,0.7,10.0,1.0,2.0370767292768135,1.3580511528512091,1.7778084236166807,0.18137146828969347,1.770445455397401,0.9654427645788337,1.0039741809906442,1.0850397783832524,0.226,Bayesian independent fixed Z
16,Ind_FixedZ0p7_muSD5_HC2p5_sigY2p04_sigC1p36,0.7,5.0,2.5,2.0370767292768135,1.3580511528512091,1.7778912756366705,0.19585991636612102,1.7689813502932472,0.9632829373650108,1.0147283721687073,1.014994818496606,0.195,Bayesian independent fixed Z
17,Ind_FixedZ0p7_muSD10_HC2p5_sigY2p04_sigC1p36,0.7,10.0,2.5,2.0370767292768135,1.3580511528512091,1.777892833858309,0.19587406040281588,1.7689813502932474,0.9632829373650108,1.014729780169272,1.014994818496606,0.195,Bayesian independent fixed Z
18,Ind_FixedZ0p7_muSD5_HC5p0_sigY1p36_sigC1p19,0.7,5.0,5.0,1.3580511528512091,1.1882947587448078,1.7780271444394804,0.16939356546082998,1.7718541285109923,0.8855291576673866,1.072634483867169,1.0740011854074962,0.21200000000000002,Bayesian independent fixed Z
19,Ind_FixedZ0p7_muSD10_HC5p0_sigY1p36_sigC1p19,0.7,10.0,5.0,1.3580511528512091,1.1882947587448078,1.7780279379424564,0.16940189420376442,1.7718541285109923,0.8855291576673866,1.0726344359349387,1.0740011854074962,0.21200000000000002,Bayesian independent fixed Z
20,Ind_FixedZ0p7_muSD5_HC1p0_sigY1p36_sigC1p36,0.7,5.0,1.0,1.3580511528512091,1.3580511528512091,1.7780564008614526,0.14006624561132144,1.774448248686663,0.8833693304535637,1.1072575535689708,2.9634676216226223,0.1875,Bayesian independent fixed Z
21,Ind_FixedZ0p7_muSD10_HC1p0_sigY1p36_sigC1p36,0.7,10.0,1.0,1.3580511528512091,1.3580511528512091,1.7780570732301142,0.14007478066700063,1.774448248686663,0.8833693304535637,1.1072689987168336,2.9634676216226223,0.1875,Bayesian independent fixed Z
22,Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC1p36,0.7,5.0,2.5,1.6975639410640113,1.3580511528512091,1.7780925066690578,0.16977564584671453,1.771883213233241,0.9308855291576674,1.0884287230645189,1.222308252175092,0.1855,Bayesian independent fixed Z
23,Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC1p36,0.7,10.0,2.5,1.6975639410640113,1.3580511528512091,1.778093606440308,0.16978716357226914,1.771883213233241,0.9308855291576674,1.0884293992914587,1.222308252175092,0.1855,Bayesian independent fixed Z
24,Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC1p02,0.7,5.0,2.5,1.6975639410640113,1.0185383646384067,1.7784069999926986,0.18172302258370324,1.77101170545559,0.9395248380129589,1.0047585693331067,1.1466994792669938,0.201,Bayesian independent fixed Z
25,Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC1p02,0.7,10.0,2.5,1.6975639410640113,1.0185383646384067,1.7784078556971965,0.18173139662542384,1.7710117054555903,0.9395248380129589,1.004758739604369,1.1466994792669938,0.201,Bayesian independent fixed Z
26,Ind_FixedZ0p7_muSD5_HC5p0_sigY1p7_sigC1p02,0.7,5.0,5.0,1.6975639410640113,1.0185383646384067,1.778833705869934,0.1944144889201988,1.7700902724258183,0.9395248380129589,1.0625196312130767,0.9998781233270008,0.21,Bayesian independent fixed Z
27,Ind_FixedZ0p7_muSD10_HC5p0_sigY1p7_sigC1p02,0.7,10.0,5.0,1.6975639410640113,1.0185383646384067,1.778834645435063,0.19442308546884438,1.7700902724258183,0.9395248380129589,1.0625197324492053,0.9998781233270008,0.21,Bayesian independent fixed Z
