ID,timepoint,posterior_mean,posterior_se,ci_2_5,ci_97_5
201,Y_t2,-1.3000126549185667,,-1.3000126549185667,-1.3000126549185667
201,Y_t3,-1.8509220977548564,,-1.8509220977548564,-1.8509220977548564
202,Y_t3,0.21397033601135784,,0.21397033601135784,0.21397033601135784
203,Y_t2,-0.7360975009789478,,-0.7360975009789478,-0.7360975009789478
203,Y_t3,2.3193052893655484,,2.3193052893655484,2.3193052893655484
204,Y_t2,0.8759832808372485,,0.8759832808372485,0.8759832808372485
204,Y_t3,3.0752894768390315,,3.0752894768390315,3.0752894768390315
205,Y_t2,-0.327668330385365,,-0.327668330385365,-0.327668330385365
205,Y_t3,-0.19170946398006028,,-0.19170946398006028,-0.19170946398006028
207,Y_t3,-1.6395323518834386,,-1.6395323518834386,-1.6395323518834386
209,Y_t2,5.859637249764116,,5.859637249764116,5.859637249764116
209,Y_t3,1.663635719416088,,1.663635719416088,1.663635719416088
212,Y_t3,3.575034904758907,,3.575034904758907,3.575034904758907
213,Y_t2,0.29710153443883225,,0.29710153443883225,0.29710153443883225
213,Y_t3,7.132613309149021,,7.132613309149021,7.132613309149021
214,Y_t2,-3.352246682353613,,-3.352246682353613,-3.352246682353613
214,Y_t3,-0.09974312962327869,,-0.09974312962327869,-0.09974312962327869
215,Y_t2,5.032574386714913,,5.032574386714913,5.032574386714913
215,Y_t3,-4.825781871291246,,-4.825781871291246,-4.825781871291246
217,Y_t2,4.341053374143531,,4.341053374143531,4.341053374143531
217,Y_t3,0.22360080199512844,,0.22360080199512844,0.22360080199512844
220,Y_t2,3.2119546059400577,,3.2119546059400577,3.2119546059400577
220,Y_t3,-1.4452117096748676,,-1.4452117096748676,-1.4452117096748676
223,Y_t3,-2.399592610916292,,-2.399592610916292,-2.399592610916292
225,Y_t2,-1.072694863880895,,-1.072694863880895,-1.072694863880895
225,Y_t3,2.6936550984894905,,2.6936550984894905,2.6936550984894905
227,Y_t2,2.462825271349145,,2.462825271349145,2.462825271349145
