ID,timepoint,is_original_missing,is_validation_holdout,posterior_mean,posterior_se,ci_2_5,ci_97_5
125,Y_t2,True,False,0.3442419462657079,1.4287244081497192,-2.529944896697998,3.1221015453338623
125,Y_t3,True,False,0.4121417268754721,1.407509207725525,-2.4555602073669434,3.2776036262512207
127,Y_t2,False,True,0.3756757116972196,1.424300193786621,-2.2443952560424805,3.1962358951568604
127,Y_t3,True,False,0.23815983901640586,1.398325800895691,-2.4551219940185547,3.164442539215088
128,Y_t2,True,False,0.4126195453878798,1.4569220542907715,-2.450848340988159,3.205274820327759
128,Y_t3,True,False,0.30494926851795756,1.398546576499939,-2.489346504211426,3.146118640899658
129,Y_t3,True,False,0.3580550086698882,1.4256558418273926,-2.321075916290283,3.3284342288970947
131,Y_t3,True,False,0.3941310496622276,1.4364506006240845,-2.4815802574157715,3.0316131114959717
133,Y_t2,True,False,0.3289784843127846,1.4320341348648071,-2.548548460006714,3.03753399848938
133,Y_t3,True,False,0.4465104382733893,1.379402995109558,-2.3746185302734375,3.1606130599975586
134,Y_t2,True,False,0.3927526003375097,1.4106266498565674,-2.35270357131958,3.1395065784454346
134,Y_t3,True,False,0.38874303675421285,1.3545299768447876,-2.23189377784729,3.1912810802459717
135,Y_t2,False,True,0.19655228801689162,1.4103115797042847,-2.404369831085205,2.9032504558563232
136,Y_t2,True,False,0.3110298219453008,1.4037866592407227,-2.460005521774292,3.109348773956299
136,Y_t3,True,False,0.3313563971155184,1.3753522634506226,-2.293833017349243,3.0669429302215576
137,Y_t2,False,True,0.32654420635428427,1.3877341747283936,-2.361212968826294,3.160646677017212
137,Y_t3,True,False,0.42801718953593026,1.4395620822906494,-2.326357841491699,3.210947275161743
138,Y_t2,True,False,0.30458942981702264,1.4081566333770752,-2.3419013023376465,3.150808811187744
138,Y_t3,True,False,0.4248040407007432,1.401609182357788,-2.305466413497925,3.134449005126953
139,Y_t2,True,False,0.44919685684035715,1.4573023319244385,-2.445119857788086,3.36539363861084
139,Y_t3,True,False,0.32021725453422567,1.4115318059921265,-2.299726724624634,3.0852322578430176
140,Y_t3,True,False,0.39673420306978924,1.37955904006958,-2.353471040725708,3.0382769107818604
141,Y_t2,True,False,0.3610984817598223,1.4197560548782349,-2.462846279144287,3.0783915519714355
141,Y_t3,True,False,0.3513004474150826,1.424516201019287,-2.3911900520324707,3.150517702102661
142,Y_t2,True,False,0.3671717118776272,1.4018696546554565,-2.448415517807007,3.1791515350341797
142,Y_t3,True,False,0.25008429783844294,1.4232498407363892,-2.502803325653076,2.964613676071167
143,Y_t1,False,True,0.3245968758755119,1.3910796642303467,-2.4377050399780273,3.0013115406036377
143,Y_t2,True,False,0.42941698611027257,1.416723608970642,-2.4589974880218506,3.148132085800171
143,Y_t3,True,False,0.38734954795658993,1.3796238899230957,-2.277327299118042,3.2799715995788574
144,Y_t1,False,True,0.36223335937484763,1.4352529048919678,-2.4347751140594482,3.1032216548919678
144,Y_t2,False,True,0.2542295340764857,1.4343069791793823,-2.679461717605591,2.9845774173736572
144,Y_t3,True,False,0.2810029398564679,1.4228153228759766,-2.518237590789795,3.1095104217529297
145,Y_t1,False,True,0.3452350577386014,1.4065937995910645,-2.33817720413208,3.1133766174316406
145,Y_t2,True,False,0.34440479230255644,1.4486663341522217,-2.4177589416503906,3.158067464828491
145,Y_t3,True,False,0.457141928845267,1.4241164922714233,-2.3734076023101807,3.284010887145996
146,Y_t1,False,True,0.3961499702279061,1.4342361688613892,-2.363241195678711,3.229163408279419
147,Y_t3,True,False,0.398595288841151,1.3978084325790405,-2.3331925868988037,3.166278839111328
