Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
86,Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC1p36,0.7,5.0,2.5,1.6975639410640113,1.3580511528512091,1.7780925066690578,0.16977564584671453,1.771883213233241,0.9308855291576674,1.0884287230645189,1.222308252175092,0.1855,Bayesian independent fixed Z
87,Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC1p36,0.7,10.0,2.5,1.6975639410640113,1.3580511528512091,1.778093606440308,0.16978716357226914,1.771883213233241,0.9308855291576674,1.0884293992914587,1.222308252175092,0.1855,Bayesian independent fixed Z
88,Ind_FixedZ0p9_muSD5_HC1p0_sigY2p04_sigC1p36,0.9,5.0,1.0,2.0370767292768135,1.3580511528512091,1.7781240823265316,0.13513666425185125,1.7748992555396488,0.9676025917926566,1.2789085140592298,1.0181090714672563,0.211,Bayesian independent fixed Z
89,Ind_FixedZ0p9_muSD10_HC1p0_sigY2p04_sigC1p36,0.9,10.0,1.0,2.0370767292768135,1.3580511528512091,1.7781254848759906,0.13515511770193345,1.7748992555396486,0.9676025917926566,1.2789213242173834,1.0181090714672563,0.211,Bayesian independent fixed Z
90,Ind_FixedZ0p9_muSD5_HC5p0_sigY2p04_sigC0p849,0.9,5.0,5.0,2.0370767292768135,0.8487819705320057,1.7783966672304103,0.1659655604202654,1.772550754712549,0.9697624190064795,1.1990575521268636,1.0076548491238981,0.219,Bayesian independent fixed Z
91,Ind_FixedZ0p9_muSD10_HC5p0_sigY2p04_sigC0p849,0.9,10.0,5.0,2.0370767292768135,0.8487819705320057,1.7783979081741832,0.1659788571707006,1.772550754712549,0.9697624190064795,1.1990614356115903,1.0076548491238981,0.219,Bayesian independent fixed Z
92,Ind_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC1p02,0.7,5.0,2.5,1.6975639410640113,1.0185383646384067,1.7784069999926986,0.18172302258370324,1.77101170545559,0.9395248380129589,1.0047585693331067,1.1466994792669938,0.201,Bayesian independent fixed Z
93,Ind_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC1p02,0.7,10.0,2.5,1.6975639410640113,1.0185383646384067,1.7784078556971965,0.18173139662542384,1.7710117054555903,0.9395248380129589,1.004758739604369,1.1466994792669938,0.201,Bayesian independent fixed Z
94,Ind_FixedZ0p9_muSD5_HC5p0_sigY1p36_sigC0p849,0.9,5.0,5.0,1.3580511528512091,0.8487819705320057,1.7786985279551346,0.14969250537299816,1.7743055230198241,0.8876889848812095,1.0443834622994672,1.2872678057594922,0.2025,Bayesian independent fixed Z
95,Ind_FixedZ0p9_muSD10_HC5p0_sigY1p36_sigC0p849,0.9,10.0,5.0,1.3580511528512091,0.8487819705320057,1.7786992489935325,0.14970107275914385,1.7743055230198241,0.8876889848812095,1.0443854959743786,1.2872678057594922,0.2025,Bayesian independent fixed Z
